count,audio,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_25.thisRepN,trials_25.thisTrialN,trials_25.thisN,trials_25.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_26.thisRepN,trials_26.thisTrialN,trials_26.thisN,trials_26.thisIndex,story_list_block2,action_list_block2,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_76.started,text_76.stopped,text_77.started,text_77.stopped,startWait,endWait,image_23.started,image_23.stopped,text_55.started,text_55.stopped,text_56.started,text_56.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_82.started,text_82.stopped,text_64.started,text_64.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,storyImage_StartTime,storyImage_EndTime,clip_StartTime,clip_EndTime,text_67.started,text_67.stopped,text_68.started,text_68.stopped,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
0,parcelated_audio/34/34_1.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,[34 43 32 41 23 14 12 21],[4 4 2 2 1 1 3 3],30.126469113999974,None,equal,22.876168065,30.126469113999974,None,22.904602766000153,30.126469113999974,None,30.126469113999974,None,0.0003405379998184799,5.999041645000034,53.02692429600029,None,59.02668770800028,None,59.02668770800028,None,1,1.283776853999825,59.02668770800028,None,59.02668770800028,None,60.37641672200016,None,1,1.6060893940002643,60.37641672200016,None,8.990243502999874,11.999147258999983,12.004115787000046,20.712387923999813,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_2.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.712733697999738,25.265985221999927,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_3.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.266324431999692,29.911139521999758,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_4.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.911480554999798,39.52561390599976,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_5.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.525966614000026,49.93631079399984,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_6.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.93664393600011,58.625582590999784,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_7.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.62592827499975,64.612250571,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_8.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.61286955600008,72.59849976499981,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_9.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.59886281299987,77.3923004620001,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_10.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39264074899984,84.41242637799996,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_11.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.41276504799998,87.85111086400002,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_12.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8514596760001,96.00046090299975,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_13.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.00084146500012,99.88303808599994,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_14.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88344913999981,104.52430145299968,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_15.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5247675769997,108.70130265099988,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_16.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.70168086400008,121.70862599800012,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_17.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.708975044,130.64624076499967,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_18.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.64659192399995,136.50438494799982,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_19.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5047262009998,142.73278495499972,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_20.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.73312489299997,151.17140475899987,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
0,parcelated_audio/34/34_21.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.17170501500004,157.52721360099986,,,,,021020,0,1,0,1,1,1,2,0,2,2020_Feb_10_1403,listening_fmri,3.2.4,60.24377208614247,
