instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.4879907900000262,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.001978921999977956,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.051290952999977435,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.035799491999966904,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.10343181999996887,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.12010852500003466,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,space,0.08694639800000914,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,space,0.16989320499999394,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,space,0.13322367600000007,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,space,0.101890931000014,,,,,,,,,,,,,,,',001,2019_Feb_12_1245,part1_subjective_segmentation,3.0.3,59.98414750944897,
