instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5375936389900744,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.4034645420033485,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
There are 4 parts of the experiment. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6862127080094069,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.918729355034884,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
You'll learn 4 questions associated with each perspective that you'll use when reading the stories. ,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8671925920061767,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
The 4 questions for each perspective are learned with quizzes. ,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0026764600188471,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
"In the second part of the experiment, you will read 8 short stories. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.234242135018576,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8526254669995978,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5197437750175595,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7538084299885668,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.10156516291941,
