count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[12 21 23 14 44 33 42 31 41 13 32 22 34 11 43 24],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Social' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Location']",[41 13 32 22 34 11 43 24],"['Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Location']",space,0.732102697000073,space,0.3362352120000196,space,0.6529802449999806,,,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.970059658000082,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"Upon arriving, they had only 45 minutes until their international flight would depart from Jamaica for the US.",1,1,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.16958848700005547,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,It had been a tough vacation for them.,1,1,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1548300869999366,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"Jessie had really had it with Calvin’s constant ramblings about the same excruciatingly boring golfing and work stories, which he insisted on repeating to her regardless of how little interest she showed.",1,1,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0531825470000058,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"Calvin knew that Jessie was upset, but wasn't sure what to do besides attempting to carry on as normal and tell stories that took up the silence. ",1,1,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06960564999985763,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"The security line was luckily very short, and once the online boarding passes were scanned they were ushered quickly through the metal detector, not having to take off their shoes or remove the liquids from their bags.",2,1,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0032981019999169803,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"“The infrastructure of this airport is really quite poor," said Calvin as they waited for their bags to emerge from the x-ray machine.",2,1,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.11962510700004714,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,“I really could've hidden something in my shoes quite easily.” ,2,1,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08633768699996835,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"Jessie, exasperated at his need to broadcast his every inner thought, scowled at the conveyor belt.",2,1,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06928001200003564,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"“What?”, he asked.",2,1,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.034077870000146504,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,She balled up her fists and turned to face him.,2,1,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03614454700004899,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"“Calvin, I really don’t think I can do this anymore.",2,2,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.050557040000057896,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,I think it’s best that once we get to the States we part ways for good.” ,2,2,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0030466550001619908,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,Calvin said nothing as he grabbed his bag and quickly walked away.,2,2,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08631935199991858,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"Jessie trailed behind him as they made their way quickly toward their gate, shouting at his back in hopes of getting a response.",3,2,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08653571999980159,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,“So now you have nothing to say?,3,2,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11733357200000682,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
0,"Every time we talk, you are just looking for a way to steer the conversation back into your stories.”",3,2,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10329029800004719,,,,,,,,,,,,,,,,,,,,,alexandra,001,2019_Feb_08_1423,body_behavioural,3.0.3,59.96345766923905,
