count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,I don’t think I can do this anymore. ,2,2,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05355162200066843,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"I was going to wait until after this unfortunately-timed dinner party tonight to talk about this, but I might as well say it now: I don’t want to be in a relationship with you anymore.",2,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06970313499914482,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0," I’m tired of the constant fighting, and I feel like when we try to do anything fun anymore it ends up unpleasant for the stupidest reasons, and I am just past  trying to work things out.”",2,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13928975199996785,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Liam refused to look at her as she picked out sauces for the pasta, and then she threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10269088799941528,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,They headed to the checkout area where there was only one station open but it was not crowded at all.,3,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.15287453999917489,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,Emmanuella sighed and got in line while Liam pretended to be interested in the magazine racks as he thought. ,3,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.003996243000074173,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05271954700037895,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03620114500154159,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0, Liam scoffed and walked off to quickly get it.,3,3,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03644899299979443,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08426089199929265,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
