instruct_text,instruct_text2,thisRole,roleName,rolePic,thisQuestion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,0,0,0,0,,,,,,,,,space,0.3880667620105669,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,0,0,0,0,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,0,1,1,1,,,,,,,,,space,0.23498515199753456,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,0,1,1,1,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
This job will be assigned to you before each story. ,None,,,,,0,2,2,2,,,,,,,,,space,0.13505884201731533,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
This job will be assigned to you before each story. ,None,,,,,0,2,2,2,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,0,3,3,3,,,,,,,,,space,0.11756381197483279,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,0,3,3,3,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
There are 8 possible jobs you could be asked to simulate.,None,,,,,0,4,4,4,,,,,,,,,space,0.1001496390090324,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
There are 8 possible jobs you could be asked to simulate.,None,,,,,0,4,4,4,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"In addition, your task will be to answer job-related questions.
",None,,,,,0,5,5,5,,,,,,,,,space,0.10236001299927011,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"In addition, your task will be to answer job-related questions.
",None,,,,,0,5,5,5,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
There are four question per job.,None,,,,,0,6,6,6,,,,,,,,,space,0.11829635099275038,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
There are four question per job.,None,,,,,0,6,6,6,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,0,7,7,7,,,,,,,,,space,0.11888373500551097,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,0,7,7,7,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
You will asked about the answers to these questions at end of the experiment. ,None,,,,,0,8,8,8,,,,,,,,,space,0.30080059499596246,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
You will asked about the answers to these questions at end of the experiment. ,None,,,,,0,8,8,8,,,,,,,,,,,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,0,9,9,9,,,,,,,,,space,0.3011644900252577,,,1,001,2018_Nov_08_1526,part1,59.98271334965859,
